name	sex	period_class	reriods	reriode	EAR	RDA	AI	UL	unit	DG_min	DG_max	DG_unit
fat	f	y	6	7	-	-	-	-	g/day	20	30	%E
fat	f	y	8	9	-	-	-	-	g/day	20	30	%E
fat	f	y	10	11	-	-	-	-	g/day	20	30	%E
fat	f	y	12	14	-	-	-	-	g/day	20	30	%E
fat	f	y	15	17	-	-	-	-	g/day	20	30	%E
fat	f	y	18	29	-	-	-	-	g/day	20	30	%E
fat	f	y	30	49	-	-	-	-	g/day	20	30	%E
fat	f	y	50	64	-	-	-	-	g/day	20	30	%E
fat	f	y	65	74	-	-	-	-	g/day	20	30	%E
fat	f	y	75	-	-	-	-	-	g/day	20	30	%E
fat	f	p	0	15	-	-	-	-	g/day	20	30	%E
fat	f	p	16	27	-	-	-	-	g/day	20	30	%E
fat	f	p	38	-	-	-	-	-	g/day	20	30	%E
fat	f	l	-	-	-	-			g/day	20	30	%E
fats	m	m	0	5	-	-	-	-	g/day	-	-	%E
fats	m	m	6	11	-	-	-	-	g/day	-	-	%E
fats	m	y	1	2	-	-	-	-	g/day	-	-	%E
fats	m	y	3	5	-	-	-	-	g/day	-	10	%E
fats	m	y	6	7	-	-	-	-	g/day	-	10	%E
fats	m	y	8	9	-	-	-	-	g/day	-	10	%E
fats	m	y	10	11	-	-	-	-	g/day	-	10	%E
fats	m	y	12	14	-	-	-	-	g/day	-	10	%E
fats	m	y	15	17	-	-	-	-	g/day	-	8	%E
fats	m	y	18	29	-	-	-	-	g/day	-	7	%E
fats	m	y	30	49	-	-	-	-	g/day	-	7	%E
fats	m	y	50	64	-	-	-	-	g/day	-	7	%E
fats	m	y	65	74	-	-	-	-	g/day	-	7	%E
fats	m	y	75	-	-	-	-	-	g/day	-	7	%E
fats	f	m	0	5	-	-	-	-	g/day	-	-	%E
fats	f	m	6	11	-	-	-	-	g/day	-	-	%E
fats	f	y	1	2	-	-	-	-	g/day	-	-	%E
fats	f	y	3	5	-	-	-	-	g/day	-	10	%E
fats	f	y	6	7	-	-	-	-	g/day	-	10	%E
fats	f	y	8	9	-	-	-	-	g/day	-	10	%E
fats	f	y	10	11	-	-	-	-	g/day	-	10	%E
fats	f	y	12	14	-	-	-	-	g/day	-	10	%E
fats	f	y	15	17	-	-	-	-	g/day	-	8	%E
fats	f	y	18	29	-	-	-	-	g/day	-	7	%E
fats	f	y	30	49	-	-	-	-	g/day	-	7	%E
fats	f	y	50	64	-	-	-	-	g/day	-	7	%E
fats	f	y	65	74	-	-	-	-	g/day	-	7	%E
fats	f	y	75	-	-	-	-	-	g/day	-	7	%E
fats	f	p	0	15	-	-	-	-	g/day	-	7	%E
fats	f	p	16	27	-	-	-	-	g/day	-	7	%E
fats	f	p	38	-	-	-	-	-	g/day	-	7	%E
fats	f	l	-	-	-	-			g/day	-	7	%E
fatn6	m	m	0	5	-	-	4	-	g/day	-	-	-
fatn6	m	m	6	11	-	-	4	-	g/day	-	-	-
fatn6	m	y	1	2	-	-	4	-	g/day	-	-	-
fatn6	m	y	3	5	-	-	6	-	g/day	-	-	-
fatn6	m	y	6	7	-	-	8	-	g/day	-	-	-
fatn6	m	y	8	9	-	-	8	-	g/day	-	-	-
fatn6	m	y	10	11	-	-	10	-	g/day	-	-	-
fatn6	m	y	12	14	-	-	11	-	g/day	-	-	-
fatn6	m	y	15	17	-	-	13	-	g/day	-	-	-
fatn6	m	y	18	29	-	-	11	-	g/day	-	-	-
fatn6	m	y	30	49	-	-	10	-	g/day	-	-	-
fatn6	m	y	50	64	-	-	10	-	g/day	-	-	-
fatn6	m	y	65	74	-	-	9	-	g/day	-	-	-
fatn6	m	y	75	-	-	-	8	-	g/day	-	-	-
fatn6	f	m	0	5	-	-	4	-	g/day	-	-	-
fatn6	f	m	6	11	-	-	4	-	g/day	-	-	-
fatn6	f	y	1	2	-	-	4	-	g/day	-	-	-
fatn6	f	y	3	5	-	-	6	-	g/day	-	-	-
fatn6	f	y	6	7	-	-	7	-	g/day	-	-	-
fatn6	f	y	8	9	-	-	7	-	g/day	-	-	-
fatn6	f	y	10	11	-	-	8	-	g/day	-	-	-
fatn6	f	y	12	14	-	-	9	-	g/day	-	-	-
fatn6	f	y	15	17	-	-	9	-	g/day	-	-	-
fatn6	f	y	18	29	-	-	8	-	g/day	-	-	-
fatn6	f	y	30	49	-	-	8	-	g/day	-	-	-
fatn6	f	y	50	64	-	-	8	-	g/day	-	-	-
fatn6	f	y	65	74	-	-	8	-	g/day	-	-	-
fatn6	f	y	75	-	-	-	7	-	g/day	-	-	-
fatn6	f	p	0	15	-	-	9	-	g/day	-	-	-
fatn6	f	p	16	27	-	-	9	-	g/day	-	-	-
fatn6	f	p	38	-	-	-	9	-	g/day	-	-	-
fatn6	f	l	-	-	-	-	10		g/day	-	-	-
fatn3	m	m	0	5	-	-	0.9	-	g/day	-	-	-
fatn3	m	m	6	11	-	-	0.8	-	g/day	-	-	-
fatn3	m	y	1	2	-	-	0.7	-	g/day	-	-	-
fatn3	m	y	3	5	-	-	1.1	-	g/day	-	-	-
fatn3	m	y	6	7	-	-	1.5	-	g/day	-	-	-
fatn3	m	y	8	9	-	-	1.5	-	g/day	-	-	-
fatn3	m	y	10	11	-	-	1.6	-	g/day	-	-	-
fatn3	m	y	12	14	-	-	1.9	-	g/day	-	-	-
fatn3	m	y	15	17	-	-	2.1	-	g/day	-	-	-
fatn3	m	y	18	29	-	-	2.0	-	g/day	-	-	-
fatn3	m	y	30	49	-	-	2.0	-	g/day	-	-	-
fatn3	m	y	50	64	-	-	2.2	-	g/day	-	-	-
fatn3	m	y	65	74	-	-	2.2	-	g/day	-	-	-
fatn3	m	y	75	-	-	-	2.1	-	g/day	-	-	-
fatn3	f	m	0	5	-	-	0.9	-	g/day	-	-	-
fatn3	f	m	6	11	-	-	0.8	-	g/day	-	-	-
fatn3	f	y	1	2	-	-	0.8	-	g/day	-	-	-
fatn3	f	y	3	5	-	-	1.0	-	g/day	-	-	-
fatn3	f	y	6	7	-	-	1.3	-	g/day	-	-	-
fatn3	f	y	8	9	-	-	1.3	-	g/day	-	-	-
fatn3	f	y	10	11	-	-	1.6	-	g/day	-	-	-
fatn3	f	y	12	14	-	-	1.6	-	g/day	-	-	-
fatn3	f	y	15	17	-	-	1.6	-	g/day	-	-	-
fatn3	f	y	18	29	-	-	1.6	-	g/day	-	-	-
fatn3	f	y	30	49	-	-	1.6	-	g/day	-	-	-
fatn3	f	y	50	64	-	-	1.9	-	g/day	-	-	-
fatn3	f	y	65	74	-	-	2.0	-	g/day	-	-	-
fatn3	f	y	75	-	-	-	1.8	-	g/day	-	-	-
fatn3	f	p	0	15	-	-	1.6	-	g/day	-	-	-
fatn3	f	p	16	27	-	-	1.6	-	g/day	-	-	-
fatn3	f	p	38	-	-	-	1.6	-	g/day	-	-	-
fatn3	f	l	-	-	-	-	1.8		g/day	-	-	-
carbo	m	m	0	5	-	-	-	-	g/day	-	-	%E
carbo	m	m	6	11	-	-	-	-	g/day	-	-	%E
carbo	m	y	1	2	-	-	-	-	g/day	50	65	%E
carbo	m	y	3	5	-	-	-	-	g/day	50	65	%E
carbo	m	y	6	7	-	-	-	-	g/day	50	65	%E
carbo	m	y	8	9	-	-	-	-	g/day	50	65	%E
carbo	m	y	10	11	-	-	-	-	g/day	50	65	%E
carbo	m	y	12	14	-	-	-	-	g/day	50	65	%E
carbo	m	y	15	17	-	-	-	-	g/day	50	65	%E
carbo	m	y	18	29	-	-	-	-	g/day	50	65	%E
carbo	m	y	30	49	-	-	-	-	g/day	50	65	%E
carbo	m	y	50	64	-	-	-	-	g/day	50	65	%E
carbo	m	y	65	74	-	-	-	-	g/day	50	65	%E
carbo	m	y	75	-	-	-	-	-	g/day	50	65	%E
carbo	f	m	0	5	-	-	-	-	g/day	-	-	%E
carbo	f	m	6	11	-	-	-	-	g/day	-	-	%E
carbo	f	y	1	2	-	-	-	-	g/day	50	65	%E
carbo	f	y	3	5	-	-	-	-	g/day	50	65	%E
carbo	f	y	6	7	-	-	-	-	g/day	50	65	%E
carbo	f	y	8	9	-	-	-	-	g/day	50	65	%E
carbo	f	y	10	11	-	-	-	-	g/day	50	65	%E
carbo	f	y	12	14	-	-	-	-	g/day	50	65	%E
carbo	f	y	15	17	-	-	-	-	g/day	50	65	%E
carbo	f	y	18	29	-	-	-	-	g/day	50	65	%E
carbo	f	y	30	49	-	-	-	-	g/day	50	65	%E
carbo	f	y	50	64	-	-	-	-	g/day	50	65	%E
carbo	f	y	65	74	-	-	-	-	g/day	50	65	%E
carbo	f	y	75	-	-	-	-	-	g/day	50	65	%E
carbo	f	p	0	15	-	-	-	-	g/day	50	65	%E
carbo	f	p	16	27	-	-	-	-	g/day	50	65	%E
carbo	f	p	38	-	-	-	-	-	g/day	50	65	%E
carbo	f	l	-	-	-	-	-		g/day	50	65	%E
fiber	m	m	0	5	-	-	-	-	g/day	-	-	g/day
fiber	m	m	6	11	-	-	-	-	g/day	-	-	g/day
fiber	m	y	1	2	-	-	-	-	g/day	-	-	g/day
fiber	m	y	3	5	-	-	-	-	g/day	8	-	g/day
fiber	m	y	6	7	-	-	-	-	g/day	10	-	g/day
fiber	m	y	8	9	-	-	-	-	g/day	11	-	g/day
fiber	m	y	10	11	-	-	-	-	g/day	13	-	g/day
fiber	m	y	12	14	-	-	-	-	g/day	17	-	g/day
fiber	m	y	15	17	-	-	-	-	g/day	19	-	g/day
fiber	m	y	18	29	-	-	-	-	g/day	21	-	g/day
fiber	m	y	30	49	-	-	-	-	g/day	21	-	g/day
fiber	m	y	50	64	-	-	-	-	g/day	21	-	g/day
fiber	m	y	65	74	-	-	-	-	g/day	20	-	g/day
fiber	m	y	75	-	-	-	-	-	g/day	20	-	g/day
fiber	f	m	0	5	-	-	-	-	g/day	-	-	g/day
fiber	f	m	6	11	-	-	-	-	g/day	-	-	g/day
fiber	f	y	1	2	-	-	-	-	g/day	-	-	g/day
fiber	f	y	3	5	-	-	-	-	g/day	8	-	g/day
fiber	f	y	6	7	-	-	-	-	g/day	10	-	g/day
fiber	f	y	8	9	-	-	-	-	g/day	11	-	g/day
fiber	f	y	10	11	-	-	-	-	g/day	13	-	g/day
fiber	f	y	12	14	-	-	-	-	g/day	17	-	g/day
fiber	f	y	15	17	-	-	-	-	g/day	18	-	g/day
fiber	f	y	18	29	-	-	-	-	g/day	18	-	g/day
fiber	f	y	30	49	-	-	-	-	g/day	18	-	g/day
fiber	f	y	50	64	-	-	-	-	g/day	18	-	g/day
fiber	f	y	65	74	-	-	-	-	g/day	17	-	g/day
fiber	f	y	75	-	-	-	-	-	g/day	17	-	g/day
fiber	f	p	0	15	-	-	-	-	g/day	18	-	g/day
fiber	f	p	16	27	-	-	-	-	g/day	18	-	g/day
fiber	f	p	38	-	-	-	-	-	g/day	18	-	g/day
fiber	f	l	-	-	-	-	-		g/day	18	-	g/day
vita	m	m	0	5	-	-	300	600	ugRAE/day	-	-	-
vita	m	m	6	11	-	-	400	600	ugRAE/day	-	-	-
vita	m	y	1	2	300	400	-	600	ugRAE/day	-	-	-
vita	m	y	3	5	350	450	-	700	ugRAE/day	-	-	-
vita	m	y	6	7	300	400	-	950	ugRAE/day	-	-	-
vita	m	y	8	9	350	500	-	1200	ugRAE/day	-	-	-
vita	m	y	10	11	450	600	-	1500	ugRAE/day	-	-	-
vita	m	y	12	14	550	800	-	2100	ugRAE/day	-	-	-
vita	m	y	15	17	650	900	-	2500	ugRAE/day	-	-	-
vita	m	y	18	29	600	850	-	2700	ugRAE/day	-	-	-
vita	m	y	30	49	650	900	-	2700	ugRAE/day	-	-	-
vita	m	y	50	64	650	900	-	2700	ugRAE/day	-	-	-
vita	m	y	65	74	600	850	-	2700	ugRAE/day	-	-	-
vita	m	y	75	-	550	800	-	2700	ugRAE/day	-	-	-
vita	f	m	0	5	-	-	300	-	ugRAE/day	-	-	-
vita	f	m	6	11	-	-	400	-	ugRAE/day	-	-	-
vita	f	y	1	2	250	350	-	-	ugRAE/day	-	-	-
vita	f	y	3	5	350	500	-	-	ugRAE/day	-	-	-
vita	f	y	6	7	300	400	-	-	ugRAE/day	-	-	-
vita	f	y	8	9	350	500	-	-	ugRAE/day	-	-	-
vita	f	y	10	11	400	600	-	-	ugRAE/day	-	-	-
vita	f	y	12	14	500	700	-	-	ugRAE/day	-	-	-
vita	f	y	15	17	500	650	-	-	ugRAE/day	-	-	-
vita	f	y	18	29	450	650	-	-	ugRAE/day	-	-	-
vita	f	y	30	49	500	700	-	-	ugRAE/day	-	-	-
vita	f	y	50	64	500	700	-	-	ugRAE/day	-	-	-
vita	f	y	65	74	500	700	-	-	ugRAE/day	-	-	-
vita	f	y	75	-	450	650	-	-	ugRAE/day	-	-	-
vita	f	p	0	15	-	-	-	-	ugRAE/day	-	-	-
vita	f	p	16	27	-	-	-	-	ugRAE/day	-	-	-
vita	f	p	38	-	+60	+80	-	-	ugRAE/day	-	-	-
vita	f	l	-	-	+300	+450	-		ugRAE/day	-	-	-
vitd	m	m	0	5	-	-	5.0	25	ug/day	-	-	-
vitd	m	m	6	11	-	-	5.0	25	ug/day	-	-	-
vitd	m	y	1	2	-	-	3.0	20	ug/day	-	-	-
vitd	m	y	3	5	-	-	3.5	30	ug/day	-	-	-
vitd	m	y	6	7	-	-	4.5	30	ug/day	-	-	-
vitd	m	y	8	9	-	-	5.0	40	ug/day	-	-	-
vitd	m	y	10	11	-	-	6.5	60	ug/day	-	-	-
vitd	m	y	12	14	-	-	8.0	80	ug/day	-	-	-
vitd	m	y	15	17	-	-	9.0	90	ug/day	-	-	-
vitd	m	y	18	29	-	-	8.5	100	ug/day	-	-	-
vitd	m	y	30	49	-	-	8.5	100	ug/day	-	-	-
vitd	m	y	50	64	-	-	8.5	100	ug/day	-	-	-
vitd	m	y	65	74	-	-	8.5	100	ug/day	-	-	-
vitd	m	y	75	-	-	-	8.5	100	ug/day	-	-	-
vitd	f	m	0	5	-	-	5.0	25	ug/day	-	-	-
vitd	f	m	6	11	-	-	5.0	25	ug/day	-	-	-
vitd	f	y	1	2	-	-	3.5	20	ug/day	-	-	-
vitd	f	y	3	5	-	-	4.0	30	ug/day	-	-	-
vitd	f	y	6	7	-	-	5.0	30	ug/day	-	-	-
vitd	f	y	8	9	-	-	6.0	40	ug/day	-	-	-
vitd	f	y	10	11	-	-	8.0	60	ug/day	-	-	-
vitd	f	y	12	14	-	-	9.5	80	ug/day	-	-	-
vitd	f	y	15	17	-	-	8.5	90	ug/day	-	-	-
vitd	f	y	18	29	-	-	8.5	100	ug/day	-	-	-
vitd	f	y	30	49	-	-	8.5	100	ug/day	-	-	-
vitd	f	y	50	64	-	-	8.5	100	ug/day	-	-	-
vitd	f	y	65	74	-	-	8.5	100	ug/day	-	-	-
vitd	f	y	75	-	-	-	8.5	100	ug/day	-	-	-
vitd	f	p	0	15	-	-	8.5	-	ug/day	-	-	-
vitd	f	p	16	27	-	-	8.5	-	ug/day	-	-	-
vitd	f	p	38	-	-	-	8.5	-	ug/day	-	-	-
vitd	f	l	-	-	-	-	8.5		ug/day	-	-	-
vite	m	m	0	5	-	-	3.0	-	mg/day	-	-	-
vite	m	m	6	11	-	-	4.0	-	mg/day	-	-	-
vite	m	y	1	2	-	-	3.0	150	mg/day	-	-	-
vite	m	y	3	5	-	-	4.0	200	mg/day	-	-	-
vite	m	y	6	7	-	-	5.0	300	mg/day	-	-	-
vite	m	y	8	9	-	-	5.0	350	mg/day	-	-	-
vite	m	y	10	11	-	-	5.5	450	mg/day	-	-	-
vite	m	y	12	14	-	-	6.5	650	mg/day	-	-	-
vite	m	y	15	17	-	-	7.0	750	mg/day	-	-	-
vite	m	y	18	29	-	-	6.0	850	mg/day	-	-	-
vite	m	y	30	49	-	-	6.0	900	mg/day	-	-	-
vite	m	y	50	64	-	-	7.0	850	mg/day	-	-	-
vite	m	y	65	74	-	-	7.0	850	mg/day	-	-	-
vite	m	y	75	-	-	-	6.5	750	mg/day	-	-	-
vite	f	m	0	5	-	-	3.0	-	mg/day	-	-	-
vite	f	m	6	11	-	-	4.0	-	mg/day	-	-	-
vite	f	y	1	2	-	-	3.0	150	mg/day	-	-	-
vite	f	y	3	5	-	-	4.0	200	mg/day	-	-	-
vite	f	y	6	7	-	-	5.0	300	mg/day	-	-	-
vite	f	y	8	9	-	-	5.0	350	mg/day	-	-	-
vite	f	y	10	11	-	-	5.5	450	mg/day	-	-	-
vite	f	y	12	14	-	-	6.0	600	mg/day	-	-	-
vite	f	y	15	17	-	-	5.5	650	mg/day	-	-	-
vite	f	y	18	29	-	-	5.0	650	mg/day	-	-	-
vite	f	y	30	49	-	-	5.5	700	mg/day	-	-	-
vite	f	y	50	64	-	-	6.0	700	mg/day	-	-	-
vite	f	y	65	74	-	-	6.5	650	mg/day	-	-	-
vite	f	y	75	-	-	-	6.5	650	mg/day	-	-	-
vite	f	p	0	15	-	-	6.5	-	mg/day	-	-	-
vite	f	p	16	27	-	-	6.5	-	mg/day	-	-	-
vite	f	p	38	-	-	-	6.5	-	mg/day	-	-	-
vite	f	l	-	-	-	-	7.0		mg/day	-	-	-
vitk	m	m	0	5	-	-	4	-	ug/day	-	-	-
vitk	m	m	6	11	-	-	7	-	ug/day	-	-	-
vitk	m	y	1	2	-	-	50	-	ug/day	-	-	-
vitk	m	y	3	5	-	-	60	-	ug/day	-	-	-
vitk	m	y	6	7	-	-	80	-	ug/day	-	-	-
vitk	m	y	8	9	-	-	90	-	ug/day	-	-	-
vitk	m	y	10	11	-	-	110	-	ug/day	-	-	-
vitk	m	y	12	14	-	-	140	-	ug/day	-	-	-
vitk	m	y	15	17	-	-	160	-	ug/day	-	-	-
vitk	m	y	18	29	-	-	150	-	ug/day	-	-	-
vitk	m	y	30	49	-	-	150	-	ug/day	-	-	-
vitk	m	y	50	64	-	-	150	-	ug/day	-	-	-
vitk	m	y	65	74	-	-	150	-	ug/day	-	-	-
vitk	m	y	75	-	-	-	150	-	ug/day	-	-	-
vitk	f	m	0	5	-	-	4	-	ug/day	-	-	-
vitk	f	m	6	11	-	-	7	-	ug/day	-	-	-
vitk	f	y	1	2	-	-	60	-	ug/day	-	-	-
vitk	f	y	3	5	-	-	70	-	ug/day	-	-	-
vitk	f	y	6	7	-	-	90	-	ug/day	-	-	-
vitk	f	y	8	9	-	-	110	-	ug/day	-	-	-
vitk	f	y	10	11	-	-	140	-	ug/day	-	-	-
vitk	f	y	12	14	-	-	170	-	ug/day	-	-	-
vitk	f	y	15	17	-	-	150	-	ug/day	-	-	-
vitk	f	y	18	29	-	-	150	-	ug/day	-	-	-
vitk	f	y	30	49	-	-	150	-	ug/day	-	-	-
vitk	f	y	50	64	-	-	150	-	ug/day	-	-	-
vitk	f	y	65	74	-	-	150	-	ug/day	-	-	-
vitk	f	y	75	-	-	-	150	-	ug/day	-	-	-
vitk	f	p	0	15	-	-	150	-	ug/day	-	-	-
vitk	f	p	16	27	-	-	150	-	ug/day	-	-	-
vitk	f	p	38	-	-	-	150	-	ug/day	-	-	-
vitk	f	l	-	-	-	-	150		ug/day	-	-	-
vitb1	m	m	0	5	-	-	0.1	-	mg/day	-	-	-
vitb1	m	m	6	11	-	-	0.2	-	mg/day	-	-	-
vitb1	m	y	1	2	0.4	0.5	-	-	mg/day	-	-	-
vitb1	m	y	3	5	0.6	0.7	-	-	mg/day	-	-	-
vitb1	m	y	6	7	0.7	0.8	-	-	mg/day	-	-	-
vitb1	m	y	8	9	0.8	1.0	-	-	mg/day	-	-	-
vitb1	m	y	10	11	1.0	1.2	-	-	mg/day	-	-	-
vitb1	m	y	12	14	1.2	1.4	-	-	mg/day	-	-	-
vitb1	m	y	15	17	1.3	1.5	-	-	mg/day	-	-	-
vitb1	m	y	18	29	1.2	1.4	-	-	mg/day	-	-	-
vitb1	m	y	30	49	1.2	1.4	-	-	mg/day	-	-	-
vitb1	m	y	50	64	1.1	1.3	-	-	mg/day	-	-	-
vitb1	m	y	65	74	1.1	1.3	-	-	mg/day	-	-	-
vitb1	m	y	75	-	1.0	1.2	-	-	mg/day	-	-	-
vitb1	f	m	0	5	-	-	0.1	-	mg/day	-	-	-
vitb1	f	m	6	11	-	-	0.2	-	mg/day	-	-	-
vitb1	f	y	1	2	0.4	0.5	-	-	mg/day	-	-	-
vitb1	f	y	3	5	0.6	0.7	-	-	mg/day	-	-	-
vitb1	f	y	6	7	0.7	0.8	-	-	mg/day	-	-	-
vitb1	f	y	8	9	0.8	0.9	-	-	mg/day	-	-	-
vitb1	f	y	10	11	0.9	1.1	-	-	mg/day	-	-	-
vitb1	f	y	12	14	1.1	1.3	-	-	mg/day	-	-	-
vitb1	f	y	15	17	1.0	1.2	-	-	mg/day	-	-	-
vitb1	f	y	18	29	0.9	1.1	-	-	mg/day	-	-	-
vitb1	f	y	30	49	0.9	1.1	-	-	mg/day	-	-	-
vitb1	f	y	50	64	0.9	1.1	-	-	mg/day	-	-	-
vitb1	f	y	65	74	0.9	1.1	-	-	mg/day	-	-	-
vitb1	f	y	75	-	0.8	1.1	-	-	mg/day	-	-	-
vitb1	f	p	0	15	+0.2	+0.2	-	-	mg/day	-	-	-
vitb1	f	p	16	27	+0.2	+0.2	-	-	mg/day	-	-	-
vitb1	f	p	38	-	+0.2	+0.2	-	-	mg/day	-	-	-
vitb1	f	l	-	-	+0.2	+0.2	-		mg/day	-	-	-
vitb2	m	m	0	5	-	-	0.3	-	mg/day	-	-	-
vitb2	m	m	6	11	-	-	0.4	-	mg/day	-	-	-
vitb2	m	y	1	2	0.5	0.6	-	-	mg/day	-	-	-
vitb2	m	y	3	5	0.7	0.8	-	-	mg/day	-	-	-
vitb2	m	y	6	7	0.8	0.9	-	-	mg/day	-	-	-
vitb2	m	y	8	9	0.9	1.1	-	-	mg/day	-	-	-
vitb2	m	y	10	11	1.1	1.4	-	-	mg/day	-	-	-
vitb2	m	y	12	14	1.3	1.6	-	-	mg/day	-	-	-
vitb2	m	y	15	17	1.4	1.7	-	-	mg/day	-	-	-
vitb2	m	y	18	29	1.3	1.6	-	-	mg/day	-	-	-
vitb2	m	y	30	49	1.3	1.6	-	-	mg/day	-	-	-
vitb2	m	y	50	64	1.2	1.5	-	-	mg/day	-	-	-
vitb2	m	y	65	74	1.2	1.5	-	-	mg/day	-	-	-
vitb2	m	y	75	-	1.1	1.3	-	-	mg/day	-	-	-
vitb2	f	m	0	5	-	-	0.3	-	mg/day	-	-	-
vitb2	f	m	6	11	-	-	0.4	-	mg/day	-	-	-
vitb2	f	y	1	2	0.5	0.5	-	-	mg/day	-	-	-
vitb2	f	y	3	5	0.6	0.8	-	-	mg/day	-	-	-
vitb2	f	y	6	7	0.7	0.9	-	-	mg/day	-	-	-
vitb2	f	y	8	9	0.9	1.0	-	-	mg/day	-	-	-
vitb2	f	y	10	11	1.0	1.3	-	-	mg/day	-	-	-
vitb2	f	y	12	14	1.2	1.4	-	-	mg/day	-	-	-
vitb2	f	y	15	17	1.2	1.4	-	-	mg/day	-	-	-
vitb2	f	y	18	29	1.0	1.2	-	-	mg/day	-	-	-
vitb2	f	y	30	49	1.0	1.2	-	-	mg/day	-	-	-
vitb2	f	y	50	64	1.0	1.2	-	-	mg/day	-	-	-
vitb2	f	y	65	74	1.0	1.2	-	-	mg/day	-	-	-
vitb2	f	y	75	-	0.9	1.0	-	-	mg/day	-	-	-
vitb2	f	p	0	15	+0.2	+0.3	-	-	mg/day	-	-	-
vitb2	f	p	16	27	+0.2	+0.3	-	-	mg/day	-	-	-
vitb2	f	p	38	-	+0.2	+0.3	-	-	mg/day	-	-	-
vitb2	f	l	-	-	+0.5	+0.6	-		mg/day	-	-	-
niacin	m	m	0	5	-	-	2	-	mgNE/day	-	-	-
niacin	m	m	6	11	-	-	3	-	mgNE/day	-	-	-
niacin	m	y	1	2	5	6	-	60	mgNE/day	-	-	-
niacin	m	y	3	5	6	8	-	80	mgNE/day	-	-	-
niacin	m	y	6	7	7	9	-	100	mgNE/day	-	-	-
niacin	m	y	8	9	9	11	-	150	mgNE/day	-	-	-
niacin	m	y	10	11	11	13	-	200	mgNE/day	-	-	-
niacin	m	y	12	14	12	15	-	250	mgNE/day	-	-	-
niacin	m	y	15	17	14	17	-	300	mgNE/day	-	-	-
niacin	m	y	18	29	13	15	-	300	mgNE/day	-	-	-
niacin	m	y	30	49	13	15	-	350	mgNE/day	-	-	-
niacin	m	y	50	64	12	14	-	350	mgNE/day	-	-	-
niacin	m	y	65	74	12	14	-	300	mgNE/day	-	-	-
niacin	m	y	75	-	11	13	-	300	mgNE/day	-	-	-
niacin	f	m	0	5	-	-	2	-	mgNE/day	-	-	-
